iata;type;name;coordinates;timezone;parent_name;City
EYP;city;El Yopal;5.346555:-72.405563;America/Bogota;Colombia;El Yopal
PIQ;city;Pipillipai;5.35:-60.37;America/Guyana;Guyana;Pipillipai
KGU;city;Keningau;5.36:116.16;Asia/Kuching;Malaysia;Keningau
SQE;city;San Luis De Pale;5.4:-71.72;America/Bogota;Colombia;San Luis De Pale
TMG;city;Tomanggong;5.4:118.65;Asia/Kuching;Malaysia;Tomanggong
TDA;city;Trinidad;5.43:-71.66;America/Bogota;Colombia;Trinidad
DSC;city;Dschang;5.45:10.0666667;Africa/Douala;Cameroon;Dschang
ABO;city;Aboisso;5.466667:-3.2;Africa/Abidjan;Ivory Coast;Aboisso
BWH;city;Butterworth;5.47:100.39;;Malaysia;Butterworth
PAL;city;Palanquero;5.48338:-74.66661;America/Bogota;Colombia;Palanquero
BFX;city;Bafoussam;5.485658:10.41299;Africa/Douala;Cameroon;Bafoussam
SNI;city;Sinoe;5.4934806:-9.0128926;Africa/Monrovia;Liberia;Sinoe
LDX;city;St Laurent du Maroni;5.499444:-54.031111;America/Cayenne;French Guiana;St Laurent du Maroni
ABN;city;Albina;5.5050681:-54.0793451;+3.0;Suriname;Albina
QRW;city;Warri;5.5166667:5.75;;Nigeria;Warri
MWV;city;Mundulkiri;5.52:72.87;Asia/Phnom_Penh;Cambodia;Mundulkiri
BTJ;city;Banda Aceh;5.546182:95.319054;Asia/Jakarta;Indonesia;Banda Aceh
VEG;city;Maikwak;5.55:-59.28;America/Guyana;Guyana;Maikwak
SSV;city;Siasi;5.55:120.83;Asia/Manila;Philippines;Siasi
ACC;city;Accra;5.555717:-0.196306;Africa/Accra;Ghana;Accra
KAV;city;Kavanayen;5.5852444:-61.7517233;America/Caracas;Venezuela;Kavanayen
NDK;city;Namdrik Island;5.6131259:168.1165309;Pacific/Kwajalein;Marshall Islands;Namdrik Island
TEL;city;Telupid;5.63:117.13;Asia/Kuching;Malaysia;Telupid
NUH;city;Nunchia;5.6333333:-72.2;America/Bogota;Colombia;Nunchia
KOB;city;Koutaba;5.64:10.75;Africa/Douala;Cameroon;Koutaba
KIO;city;Kili Island;5.6405493:169.1181599;Pacific/Majuro;Marshall Islands;Kili Island
ADN;city;Andes;5.65:-75.9;America/Bogota;Colombia;Andes
LFO;city;Kelafo;5.66:44.35;Africa/Addis_Ababa;Ethiopia;Kelafo
PYH;city;Puerto Ayacucho;5.665781:-67.634697;America/Caracas;Venezuela;Puerto Ayacucho
NQU;city;Nuqui;5.69151:-77.271767;America/Bogota;Colombia;Nuqui
BMF;city;Bakouma;5.6986111:22.7833333;Africa/Bangui;Central African Republic;Bakouma
KTV;city;Kamarata;5.7:-62.32;America/Caracas;Venezuela;Kamarata
UIB;city;Quibdo;5.7:-76.6666667;America/Bogota;Colombia;Quibdo
SOX;city;Sogamoso;5.7166667:-72.9333333;America/Bogota;Colombia;Sogamoso
IMB;city;Imbaimadai;5.72:-60.28;America/Guyana;Guyana;Imbaimadai
TTM;city;Tablon De Tamara;5.72:-72.1;America/Bogota;Colombia;Tablon De Tamara
PRE;city;Pore;5.725106:-71.993713;America/Bogota;Colombia;Pore
FOM;city;Foumban;5.728629:10.90184;Africa/Douala;Cameroon;Foumban
SKR;city;Shakiso;5.73:38.92;Africa/Addis_Ababa;Ethiopia;Shakiso
MMF;city;Mamfe;5.7511525:9.3146014;Africa/Douala;Cameroon;Mamfe
BBY;city;Bambari;5.759174:20.670971;Africa/Bangui;Central African Republic;Bambari
BCO;city;Jinka;5.78:36.55;Africa/Addis_Ababa;Ethiopia;Jinka
PRR;city;Paruima;5.82:-61.03;America/Guyana;Guyana;Paruima
MUJ;city;Mui;5.82:35.8;Africa/Addis_Ababa;Ethiopia;Mui
PBM;city;Paramaribo;5.823201:-55.16788;America/Paramaribo;Suriname;Paramaribo
DIV;city;Divo;5.83885:-5.36008;Africa/Abidjan;Ivory Coast;Divo
SDK;city;Sandakan;5.84561:118.0570561;Asia/Kuching;Malaysia;Sandakan
LKT;city;Lakota;5.85:-5.6833333;Africa/Abidjan;Ivory Coast;Lakota
KAR;city;Kamarang;5.87:-60.61;America/Guyana;Guyana;Kamarang
SBG;city;Sabang;5.87:95.34;Asia/Jakarta;Indonesia;Sabang
TOT;city;Totness;5.8719379:-56.3320773;+0.0;Suriname;Totness
SKM;city;Skeldon;5.877778:-57.175;America/Guyana;Guyana;Skeldon
PZA;city;Paz De Ariporo;5.881877:-71.893372;America/Bogota;Colombia;Paz De Ariporo
UCN;city;Buchanan;5.882795:-10.04366;Africa/Monrovia;Liberia;Buchanan
BPE;city;Bagan;5.9:16.47;Asia/Kuala_Lumpur;Myanmar;Bagan
RVC;city;Rivercess;5.9025328:-9.456155;Africa/Monrovia;Liberia;Rivercess
BOP;city;Bouar;5.933314:15.59317;Africa/Bangui;Central African Republic;Bouar
ICK;city;Nieuw Nickerie;5.938142:-56.991791;America/Paramaribo;Suriname;Nieuw Nickerie
GDE;city;Gode;5.94:43.58;Africa/Addis_Ababa;Ethiopia;Gode
BPC;city;Bamenda;5.958647:10.14751;Africa/Douala;Cameroon;Bamenda
RNU;city;Ranau;5.96:116.67;Asia/Kuching;Malaysia;Ranau
BKI;city;Kota-Kinabalu;5.976474:116.115777;Asia/Kuching;Malaysia;Kota-Kinabalu
ZWR;city;Kota Kinabalu;5.976474:116.115777;;Malaysia;Kota Kinabalu
PAY;city;Pamol;5.99:117.4;Asia/Kuching;Malaysia;Pamol
KCT;city;Koggala;5.9945694:80.3206143;;Sri Lanka;Koggala
YBL;city;Campbell River;50.029164:-125.273987;America/Winnipeg;Canada;Campbell River
PED;city;Pardubice;50.0378281:15.7808335;+1.0;Czech Republic;Pardubice
RZE;city;Rzeszow;50.0409469:21.9992806;Europe/Warsaw;Poland;Rzeszow
YXH;city;Medicine Hat;50.041554:-110.677607;America/Edmonton;Canada;Medicine Hat
KRK;city;Krakow;50.0646501:19.9449799;Europe/Warsaw;Poland;Krakow
LEQ;city;Lands End;50.066146:-5.707214;Australia/Adelaide;United Kingdom;Lands End
YCF;city;Cortes Bay;50.067358:-124.940641;America/Vancouver;Canada;Cortes Bay
WPL;city;Powell Lake;50.08147:-124.4869512;America/Toronto;Canada;Powell Lake
PRG;city;Prague;50.0878114:14.4204598;Europe/Prague;Czech Republic;Prague
YXL;city;Sioux Lookout;50.11:-91.91;America/Winnipeg;Canada;Sioux Lookout
YWS;city;Whistler;50.116168:-122.959423;America/Vancouver;Canada;Whistler
YSZ;city;Squirrel Cove;50.116667:-124.916667;America/Vancouver;Canada;Squirrel Cove
PZE;city;Penzance;50.1185958:-5.5371509;Europe/London;United Kingdom;Penzance
YAE;city;Alta Lake;50.12:-1.98;America/Montreal;Canada;Alta Lake
YMB;city;Merritt;50.12:-120.75;America/Toronto;Canada;Merritt
YNA;city;Natashquan;50.1657158:-61.8234354;America/Montreal;Canada;Natashquan
DGF;city;Douglas Lake;50.166:-120.213;America/Chicago;Canada;Douglas Lake
ZKG;city;Kegaska;50.19:-61.274;America/Blanc-Sablon;Canada;Kegaska
YZV;city;Sept-Iles;50.2:-66.3833333;America/Montreal;Canada;Sept-Iles
YSD;city;Suffield;50.217232:-111.164777;America/Edmonton;Canada;Suffield
KLV;city;Karlovy Vary;50.2322052:12.8712765;Europe/Prague;Czech Republic;Karlovy Vary
YGV;city;Havre St Pierre;50.241814:-63.598569;America/Montreal;Canada;Havre St Pierre
HEK;city;Heihe;50.245297:127.52846;Asia/Harbin;China;Heihe
AYK;city;Arkalyk;50.246498:66.911957;Asia/Qyzylorda;Kazakhstan;Arkalyk
YVE;city;Vernon;50.25:-119.33;America/Dawson;Canada;Vernon
AKX;city;Aktyubinsk;50.25:57.21;Asia/Aqtobe;Kazakhstan;Aktyubinsk
ZTR;city;Zhitomir;50.25465:28.658667;+2.0;Ukraine;Zhitomir
KTW;city;Katowice;50.2648919:19.0237815;Europe/Warsaw;Poland;Katowice
BQS;city;Blagoveschensk;50.2749404:127.5341414;Europe/Kaliningrad;Russia;Blagoveschensk
YYN;city;Swift Current;50.2880556:-107.7938889;America/St_Johns;Canada;Swift Current
YLP;city;Mingan;50.291457:-64.023161;America/Montreal;Canada;Mingan
HOQ;city;Hof;50.31658:11.913471;Europe/Berlin;Germany;Hof
YMJ;city;Moose Jaw;50.33:-105.56;America/Regina;Canada;Moose Jaw
YDS;city;Desolation Sound;50.33:-125.0;America/Vancouver;Canada;Desolation Sound
ZGS;city;Gethsemani;50.33:-60.67;America/Blanc-Sablon;Canada;Gethsemani
YTN;city;Riviere Au Tonnerre;50.33:-64.77;America/Montreal;Canada;Riviere Au Tonnerre
YCZ;city;Fairmont Hot Springs;50.335927:-115.851186;America/Edmonton;Canada;Fairmont Hot Springs
PLX;city;Semipalatinsk;50.35:80.23;Asia/Almaty;Kazakhstan;Semipalatinsk
PLH;city;Plymouth;50.3703805:-4.142653;Europe/London;United Kingdom;Plymouth
YDR;city;Broadview;50.376:-102.579;America/Regina;Canada;Broadview
YIG;city;Big Bay Marina;50.383333:-125.133333;America/Dawson;Canada;Big Bay Marina
YRR;city;Stuart Island;50.3929727:-125.1186075;America/Toronto;Canada;Stuart Island
YYA;city;Big Bay Yacht Club;50.4:-125.13;America/Dawson;Canada;Big Bay Yacht Club
NQY;city;Newquay;50.4136078:-5.0833641;Europe/London;United Kingdom;Newquay
KBP;city;Kiev;50.4501:30.5234;Europe/Kiev;Ukraine;Kiev
YQR;city;Regina;50.4547222:-104.6066667;America/Regina;Canada;Regina
YHR;city;Chevery;50.466658:-59.62006;America/Blanc-Sablon;Canada;Chevery
NOL;city;Nakolik River;50.48:21.45;America/Nome;United States;Nakolik River
TIL;city;Inverlake;50.5:-1.03;America/Edmonton;Canada;Inverlake
YBJ;city;Baie Johan Beetz;50.5:-62.92;America/Atikokan;Canada;Baie Johan Beetz
LTQ;city;Le Touquet;50.521276:1.590675;Europe/Paris;France;Le Touquet
KXK;city;Komsomolsk Na Amure;50.5382118:137.0169068;Asia/Vladivostok;Russia;Komsomolsk Na Amure
YAL;city;Alert Bay;50.5825:-126.9252778;America/Vancouver;Canada;Alert Bay
YMP;city;Port McNeil;50.584721:-127.095901;America/Dawson;Canada;Port McNeil
EGO;city;Belgorod;50.5966111:36.6092109;Europe/Moscow;Russia;Belgorod
KEU;city;Kelly Bar;50.6:-4.27;America/Los_Angeles;United States;Kelly Bar
RWN;city;Rovno;50.6199:26.251617;Europe/Samara;Ukraine;Rovno
HZB;city;Hazebrouck;50.62:2.64;Europe/Paris;France;Hazebrouck
LIL;city;Lille;50.62925:3.057256;Europe/Paris;France;Lille
YGM;city;Gimli;50.632992:-96.985161;America/Winnipeg;Canada;Gimli
LGG;city;Liege;50.63333:5.56666;Europe/Brussels;Belgium;Liege
YKA;city;Kamloops;50.6761111:-120.3408333;America/Vancouver;Canada;Kamloops
BBP;city;Bembridge;50.686249:-1.082578;Europe/London;United Kingdom;Bembridge
YSN;city;Salmon Arm;50.700385:-119.280047;America/Vancouver;Canada;Salmon Arm
ZTB;city;Tete-a-La Baleine;50.702463:-59.322257;Arctic/Longyearbyen;Canada;Tete-a-La Baleine
EXT;city;Exeter;50.7218:-3.533617;Europe/London;United Kingdom;Exeter
YZT;city;Port Hardy;50.722741:-127.492789;America/Vancouver;Canada;Port Hardy
MWW;city;Mouscron;50.743754:3.220815;;Belgium;Mouscron
UCK;city;Lutsk;50.747233:25.325383;Europe/Moscow;Ukraine;Lutsk
AAH;city;Aachen;50.7754385:6.0815102;Europe/Berlin;Germany;Aachen
BOH;city;Bournemouth;50.78:-1.84;Europe/London;United Kingdom;Bournemouth
PME;city;Portsmouth;50.7989137:-1.0911627;Europe/London;United Kingdom;Portsmouth
YNR;city;Arnes;50.802145:-96.995181;America/Swift_Current;Canada;Arnes
CZW;city;Czestochowa;50.8173871:19.1185308;Europe/Warsaw;Poland;Czestochowa
KJK;city;Kortrijk;50.82333:3.25882;Europe/Brussels;Belgium;Kortrijk
ZLT;city;La Tabatiere;50.83:-58.98;America/Blanc-Sablon;Canada;La Tabatiere
ESH;city;Shoreham By Sea;50.835678:-0.280956;Europe/London;United Kingdom;Shoreham By Sea
YGN;city;Greenway Sound;50.85:-126.85;America/Vancouver;Canada;Greenway Sound
BRU;city;Brussels;50.8503396:4.3517103;Europe/Brussels;Belgium;Brussels
MST;city;Maastricht;50.8513682:5.6909725;Europe/Amsterdam;Netherlands;Maastricht
SGE;city;Siegen;50.873797:8.023407;Europe/Berlin;Germany;Siegen
YTG;city;Sullivan Bay;50.883333:-126.816667;America/Winnipeg;Canada;Sullivan Bay
UMY;city;Sumy;50.9077:34.7981;Europe/Kiev;Ukraine;Sumy
CGN;city;Cologne;50.9406645:6.9599115;Europe/Berlin;Germany;Cologne
SOU;city;Eastleigh near Southampton;50.9504:-1.36157;Europe/London;United Kingdom;Eastleigh near Southampton
CQF;city;Calais;50.95129:1.858686;Europe/Paris;France;Calais
LYX;city;Lydd;50.9523454:0.907289;Europe/London;United Kingdom;Lydd
GKE;city;Geilenkirchen;50.965494:6.1221142;Europe/Berlin;Germany;Geilenkirchen
ERF;city;Erfurt;50.9737341:11.0224351;Europe/Berlin;Germany;Erfurt
AOC;city;Altenburg;50.9921829:12.4443291;Europe/Berlin;Germany;Altenburg
YRV;city;Revelstoke;51.001622:-118.196923;America/Toronto;Canada;Revelstoke
YEO;city;Yeovilton;51.0041985:-2.6490983;Europe/London;United Kingdom;Yeovilton
YYC;city;Calgary;51.045:-114.0572222;America/Edmonton;Canada;Calgary
GNE;city;Ghent;51.05665:3.72;Africa/Tripoli;Belgium;Ghent
YRL;city;Red Lake;51.061009:-93.779855;America/Halifax;Canada;Red Lake
MGM;city;Montgomery;51.07:-1.17;America/Chicago;United States;Montgomery
WRO;city;Wroclaw;51.1078852:17.0385376;Europe/Warsaw;Poland;Wroclaw
WID;city;Wildenrath;51.1247069:6.19314;Europe/Berlin;Germany;Wildenrath
DRS;city;Dresden;51.13:13.77;Europe/Berlin;Germany;Dresden
GMY;city;Rheindahlen;51.148407:6.357643;Europe/Berlin;Germany;Rheindahlen
YBA;city;Banff;51.1780556:-115.5719444;America/Edmonton;Canada;Banff
TSE;city;Astana;51.179852:71.446682;Asia/Almaty;Kazakhstan;Astana
MGL;city;Moenchengladbach;51.191261:6.442066;;Germany;Moenchengladbach
ADV;city;Andover;51.2093176:-1.4783522;Europe/London;United Kingdom;Andover
YQV;city;Yorkton;51.2138889:-102.4627778;America/Regina;Canada;Yorkton
OST;city;Ostend;51.2166667:2.9;Europe/Brussels;Belgium;Ostend
OSW;city;Orsk;51.21838:58.6203805;Asia/Yekaterinburg;Russia;Orsk
ANR;city;Antwerp;51.21992:4.39625;Europe/Brussels;Belgium;Antwerp
DUS;city;Dusseldorf;51.2249429:6.7756524;Europe/Berlin;Germany;Dusseldorf
YIF;city;Pakuashipi;51.2302778:-58.6716667;America/Blanc-Sablon;Canada;Pakuashipi
URA;city;Uralsk;51.2333333:51.3666667;Asia/Oral;Kazakhstan;Uralsk
OBL;city;Zoersel;51.26:4.75;Europe/Brussels;Belgium;Zoersel
YMO;city;Moosonee;51.280454:-80.646599;America/Atikokan;Canada;Moosonee
FAB;city;Farnborough;51.2940006:-0.754624;Europe/London;United Kingdom;Farnborough
WEM;city;West Malling;51.2946095:0.4088802;Europe/London;United Kingdom;West Malling
UPV;city;Upavon;51.2949069:-1.807796;Europe/London;United Kingdom;Upavon
IES;city;Riesa;51.3001422:13.3021036;+0.0;Germany;Riesa
KSF;city;Kassel;51.318928:9.49601;Europe/Berlin;Germany;Kassel
KNO;city;Knokke;51.3413889:3.2869444;Europe/Brussels;Belgium;Knokke
BBS;city;Yateley;51.3423028:-0.8294728;Europe/London;United Kingdom;Yateley
MSE;city;Manston;51.3507588:1.3745662;Europe/London;United Kingdom;Manston
CJH;city;Chilko Lake;51.3609288:-124.127089;America/Vancouver;Canada;Chilko Lake
KNF;city;Kings Lynn;51.37:-0.28;Europe/London;United Kingdom;Kings Lynn
YAY;city;St Anthony;51.3725:-55.5947222;America/St_Johns;Canada;St Anthony
RCS;city;Rochester;51.3897895:0.503732;Europe/London;United Kingdom;Rochester
YBX;city;Blanc Sablon;51.427473:-57.133266;Europe/Paris;Canada;Blanc Sablon
LEJ;city;Leipzig-Halle;51.43:12.24;Europe/Berlin;Germany;Leipzig-Halle
ZHZ;city;Halle;51.43:12.24;;Germany;Halle
EIN;city;Eindhoven;51.441642:5.4697225;Europe/Amsterdam;Netherlands;Eindhoven
WOE;city;Woensdrecht;51.45:4.34;Europe/Amsterdam;Netherlands;Woensdrecht
BRS;city;Bristol;51.4553129:-2.5919023;Europe/London;United Kingdom;Bristol
ESS;city;Essen;51.4579352:7.0148281;Europe/Berlin;Germany;Essen
YKY;city;Kindersley;51.467499:-109.153603;America/Regina;Canada;Kindersley
YPL;city;Pickle Lake;51.467825:-90.193782;America/Toronto;Canada;Pickle Lake
YRN;city;Owekeno Village;51.47:-127.58;America/Dawson;Canada;Owekeno Village
CWL;city;Cardiff;51.4813069:-3.1804979;Europe/London;United Kingdom;Cardiff
YKQ;city;Waskaganish;51.481666:-78.757523;America/Montreal;Canada;Waskaganish
BZM;city;Bergen Op Zoom;51.4945758:4.2871622;Europe/Amsterdam;Netherlands;Bergen Op Zoom
CEJ;city;Chernigov;51.4982:31.28935;Europe/Kiev;Ukraine;Chernigov
LON;city;London;51.51:0.06;Europe/London;United Kingdom;London
DTM;city;Dortmund;51.5120542:7.4635729;Europe/Berlin;Germany;Dortmund
RTW;city;Saratov;51.533269:46.034549;Asia/Yekaterinburg;Russia;Saratov
AHT;city;Amchitka;51.5422222:178.9833333;Pacific/Honolulu;United States;Amchitka
NHT;city;Northolt;51.5434048:-0.3784992;Europe/London;United Kingdom;Northolt
YFH;city;Fort Hope;51.56:-87.91;America/Toronto;Canada;Fort Hope
GLZ;city;Breda;51.5748068:4.7748161;Europe/Amsterdam;Netherlands;Breda
HEN;city;Hendon;51.58:-0.23;Europe/London;United Kingdom;Hendon
SWS;city;Swansea;51.6204415:-3.9466286;Europe/London;United Kingdom;Swansea
NRN;city;Weeze;51.6281935:6.2001387;;Germany;Weeze
LRC;city;Laarbruch;51.6281935:6.2001387;Europe/Berlin;Germany;Laarbruch
HYC;city;High Wycombe;51.6287848:-0.7494655;Europe/London;United Kingdom;High Wycombe
YOG;city;Ogoki;51.629799:-85.945192;America/Toronto;Canada;Ogoki
UDE;city;Uden;51.66:5.71;Europe/Amsterdam;Netherlands;Uden
VOZ;city;Voronezh;51.6600188:39.1974105;Europe/Moscow;Russia;Voronezh
BYT;city;Bantry;51.6809979:-9.4503702;Europe/Dublin;Ireland;Bantry
YNS;city;Nemiscau;51.69:-76.14;America/Montreal;Canada;Nemiscau
YAC;city;Cat Lake;51.705842:-91.8472154;America/Toronto;Canada;Cat Lake
EKB;city;Ekibastuz;51.713909:75.352272;Asia/Almaty;Kazakhstan;Ekibastuz
PAD;city;Paderborn;51.715254:8.75213;Europe/Berlin;Germany;Paderborn
KYZ;city;Kyzyl;51.7219087:94.4173966;Asia/Krasnoyarsk;Russia;Kyzyl
YHC;city;Hakai Pass;51.73398:-128.123888;America/Dawson;Canada;Hakai Pass
URS;city;Kursk;51.740261:36.1848793;Europe/Moscow;Russia;Kursk
CKL;city;Chkalovsky;51.75:55.38;Europe/Kaliningrad;Russia;Chkalovsky
OXF;city;Oxford;51.7522792:-1.2558838;Europe/London;United Kingdom;Oxford
KOQ;city;Koethen;51.752541:11.97558;Europe/Berlin;Germany;Koethen
LCJ;city;Lodz;51.7592485:19.4559833;Europe/Warsaw;Poland;Lodz
CBU;city;Cottbus;51.7607292:14.3274885;Europe/Berlin;Germany;Cottbus
ADK;city;Adak Island;51.7615874:-176.6217472;America/Adak;United States;Adak Island
HTF;city;Hatfield;51.762719:-0.2247092;Europe/London;United Kingdom;Hatfield
REN;city;Orenburg;51.7682418:55.1037104;Asia/Yekaterinburg;Russia;Orenburg
YDV;city;Bloodvein;51.785107:-96.69231;America/Winnipeg;Canada;Bloodvein
HAW;city;Haverfordwest;51.801116:-4.971537;Europe/London;United Kingdom;Haverfordwest
YPM;city;Pikangikum;51.80424:-93.9927079;America/Winnipeg;Canada;Pikangikum
ATX;city;Atbasar;51.811871:68.35643;Asia/Qyzylorda;Kazakhstan;Atbasar
UUD;city;Ulan-ude;51.8408393:107.6080931;Asia/Irkutsk;Russia;Ulan-ude
ZNU;city;Namu;51.866667:-127.866667;-8.0;Canada;Namu
GLO;city;Gloucester;51.8667425:-2.2486699;Europe/London;United Kingdom;Gloucester
WXF;city;Braintree;51.8774757:0.5484436;Europe/London;United Kingdom;Braintree
ORK;city;Cork;51.8978719:-8.4710874;Europe/Dublin;Ireland;Cork
GUT;city;Guetersloh;51.9049057:8.3927497;Europe/Berlin;Germany;Guetersloh
MWS;city;Mount Wilson;51.92:-2.87;America/New_York;United States;Mount Wilson
RTM;city;Rotterdam;51.924216:4.481776;Europe/Amsterdam;Netherlands;Rotterdam
YCJ;city;Cape St James;51.93:-131.02;America/Dawson;Canada;Cape St James
UHF;city;Upper Heyford;51.9304545:-1.2762343;Europe/London;United Kingdom;Upper Heyford
IEG;city;Zielona Gora;51.9356214:15.5061862;Europe/Warsaw;Poland;Zielona Gora
CHE;city;Caherciveen;51.9477635:-10.224143;Europe/Dublin;Ireland;Caherciveen
RGK;city;Gorno-Altaysk;51.95000001:85.966666676667;Asia/Omsk;Russia;Gorno-Altaysk
YGA;city;Gagnon;51.96:-68.14;America/Montreal;Canada;Gagnon
ZGR;city;Little Grand Rapids;52.008541:-95.429739;+6.0;Canada;Little Grand Rapids
BWO;city;Balakovo;52.0210685:47.8057596;Europe/Volgograd;Russia;Balakovo
BFE;city;Bielefeld;52.0230618:8.5330723;Europe/Berlin;Germany;Bielefeld
HTA;city;Chita;52.0454291:113.4986269;Asia/Yakutsk;Russia;Chita
YDX;city;Doc Creek;52.046058:-128.078166;America/Vancouver;Canada;Doc Creek
YCT;city;Coronation;52.090191:-111.4412;America/Edmonton;Canada;Coronation
FMO;city;Greven;52.0920702:7.6105746;Europe/Berlin;Germany;Greven
BWY;city;Woodbridge;52.0942531:1.3131269;Europe/London;United Kingdom;Woodbridge
ZJN;city;Swan River;52.10457:-101.259843;+0.0;Canada;Swan River
YHP;city;Poplar Hill;52.11:-94.26;America/Halifax;Canada;Poplar Hill
YCP;city;Co-op Point;52.12:-119.28;America/Winnipeg;Canada;Co-op Point
BQT;city;Brest;52.1333333:23.6666667;Europe/Minsk;Belarus;Brest
YWL;city;Williams Lake;52.134171:-122.138702;America/Halifax;Canada;Williams Lake
YXE;city;Saskatoon;52.13437:-106.647656;America/Regina;Canada;Saskatoon
YSX;city;Shearwater;52.15:-128.08;America/Vancouver;Canada;Shearwater
EIB;city;Eisenach;52.15:14.67;Europe/Berlin;Germany;Eisenach
ZEL;city;Bella Bella;52.1603629:-128.145551;America/Vancouver;Canada;Bella Bella
KIR;city;Farranfore;52.1712631:-9.5501058;Europe/Dublin;Ireland;Farranfore
AKB;city;Atka;52.1961111:-174.2005556;America/Adak;United States;Atka
CBG;city;Cambridge;52.2025441:0.1312368;Europe/London;United Kingdom;Cambridge
YFA;city;Fort Albany;52.207757:-81.684454;America/Toronto;Canada;Fort Albany
YLH;city;Lansdowne House;52.219467:-87.891227;America/Toronto;Canada;Lansdowne House
ENS;city;Enschede;52.2203375:6.8959638;Europe/Amsterdam;Netherlands;Enschede
WAW;city;Warsaw;52.2296756:21.0122287;Europe/Warsaw;Poland;Warsaw
ZEM;city;East Main;52.23:-78.52;Europe/Budapest;Canada;East Main
BEQ;city;Bury St Edmunds;52.248726:0.705933;Europe/London;United Kingdom;Bury St Edmunds
WAT;city;Waterford;52.2567868:-7.1292044;Europe/Dublin;Ireland;Waterford
BWE;city;Braunschweig;52.2641478:10.5263803;Europe/Berlin;Germany;Braunschweig
YQF;city;Red Deer;52.266741:-113.802295;America/Edmonton;Canada;Red Deer
IKT;city;Irkutsk;52.275261:104.3086395;Asia/Irkutsk;Russia;Irkutsk
ZKE;city;Kaschechewan;52.28:-81.68;America/Atikokan;Canada;Kaschechewan
PWQ;city;Pavlodar;52.3:76.95;Asia/Almaty;Kazakhstan;Pavlodar
WEX;city;Wexford;52.3391609:-6.4601247;Europe/Dublin;Ireland;Wexford
MHZ;city;Mildenhall;52.3439711:0.5096433;Europe/London;United Kingdom;Mildenhall
YBV;city;Berens River;52.353035:-97.002605;America/Winnipeg;Canada;Berens River
ZOF;city;Ocean Falls;52.354021:-127.693746;+8.0;Canada;Ocean Falls
HAJ;city;Hanover;52.3720683:9.7356861;Europe/Berlin;Germany;Hanover
QBC;city;Bella Coola;52.372895:-126.762576;America/Dawson;Canada;Bella Coola
AMS;city;Amsterdam;52.3730556:4.8922222;Europe/Amsterdam;Netherlands;Amsterdam
YRM;city;Rocky Mountain House;52.376972:-114.919308;America/Edmonton;Canada;Rocky Mountain House
CVT;city;Coventry;52.4058375:-1.512661;Europe/London;United Kingdom;Coventry
POZ;city;Poznan;52.406374:16.9251681;Europe/Warsaw;Poland;Poznan
GME;city;Gomel;52.4452778:30.9841667;Europe/Minsk;Belarus;Gomel
LEY;city;Lelystad;52.46:5.53;Europe/Amsterdam;Netherlands;Lelystad
YAA;city;Anahim Lake;52.466667:-125.316667;America/Vancouver;Canada;Anahim Lake
BHX;city;Birmingham;52.4829614:-1.893592;Europe/London;United Kingdom;Birmingham
YNO;city;North Spirit Lake;52.506859:-93.023709;America/Atikokan;Canada;North Spirit Lake
BER;city;Berlin;52.5234051:13.4113999;Europe/Berlin;Germany;Berlin
YHA;city;Port Hope Simpson;52.544452:-56.329829;America/St_Johns;Canada;Port Hope Simpson
YKT;city;Klemtu;52.6:-128.52;America/Vancouver;Canada;Klemtu
LPK;city;Lipetsk;52.6059493:39.5876808;Europe/Moscow;Russia;Lipetsk
NWI;city;Norwich;52.6281014:1.2993494;Europe/London;United Kingdom;Norwich
KKY;city;Kilkenny;52.6537541:-7.2479833;Europe/Dublin;Ireland;Kilkenny
YVZ;city;Deer Lake;52.66:-94.06;America/St_Johns;Canada;Deer Lake
YBS;city;Opapamiska Lake;52.71:-88.52;America/St_Johns;Canada;Opapamiska Lake
SNN;city;Shannon;52.7107429:-8.8789691;Europe/Dublin;Ireland;Shannon
TBW;city;Tambov;52.7210998:41.4173506;Europe/Moscow;Russia;Tambov
YQW;city;North Battleford;52.775166:-108.286801;America/Regina;Canada;North Battleford
SUR;city;Summer Beaver;52.7892431:-88.4665628;America/Toronto;Canada;Summer Beaver
YRD;city;Dean River;52.82:-126.97;America/Vancouver;Canada;Dean River
YTT;city;Tisdale;52.85:-104.05;America/Swift_Current;Canada;Tisdale
ATU;city;Attu Island;52.87631:172.8904825;America/Nome;United States;Attu Island
ZFL;city;South Trout Lake;52.8840972:-93.6863468;+6.0;Canada;South Trout Lake
VAC;city;Varrelbusch;52.890869:8.004264;Europe/Berlin;Germany;Varrelbusch
YWK;city;Wabush;52.902328:-66.870483;America/Goose_Bay;Canada;Wabush
WNN;city;Wunnummin Lake;52.9030385:-89.1168144;America/Winnipeg;Canada;Wunnummin Lake
EMA;city;Derby;52.9218993:-1.475642;;United Kingdom;Derby
YAT;city;Attawapiskat;52.92352:-82.423773;America/Toronto;Canada;Attawapiskat
DHR;city;Den Helder;52.935304:4.783113;Europe/Amsterdam;Netherlands;Den Helder
ZRJ;city;Round Lake;52.94:-91.31;America/St_Johns;Canada;Round Lake
NQT;city;Nottingham;52.9551147:-1.1491718;Europe/London;United Kingdom;Nottingham
OEL;city;Orel;52.968453:36.069494;Asia/Yekaterinburg;Russia;Orel
