name;location;photo;Shutterstock photo;title;description1;description2;description3;description4;description5
Pompei;Pompei, Italy;https://pixabay.com/fr/italie-pomp%C3%A9i-humeur-1955835/;https://www.shutterstock.com/fr/image-photo/ancient-ruins-pompeii-roman-town-near-518572351?src=QblLD2Baw8JPx9upl5bfJg-1-7;Visiting the ruins of Pompei is both a historical and a moving experience;Ruins of Pompei, destroyed by a Vulcano's eruption 2000 years ago;Ashes preserved the building for centuries, which gives this feeling of being in a ghost city rather than ruins;;;
Venice;Venice, Italy;https://pixabay.com/fr/venise-italie-pont-mer-fois-1718664/;;No need to introduce Romantic Venice :);Thousands of wonders built on a lagoon;Palaces, Basilica di San Marco and a gondola ride can't be missed;Don't forget coulourful Murano island that gives a completely different perspective;;
Florence;Florence, Italy;https://pixabay.com/fr/florence-le-soleil-vacances-nuages-1896271/;;The heart of Italian Renaissance;Explore the streets of Florence and its secret wonders;Countless museums and masterpieces;The famous Ponte Vecchio;;
Tuscany;San Gimignano, Italy;https://pixabay.com/fr/tuscany-italie-vue-paysage-984014/;;If you had to make up a region for roadtrips, you would certainly invent Tuscany;Drive the majestic Tuscan roads that weaves between the hills;Open the door of Tuscan trattorias to enjoy their slow food and some of the best wines in the country;Discover typical villages like Sienna one by one, taking your time;;
Dolomites;Dolomites, Italy;https://pixabay.com/fr/dolomites-montagnes-lac-italie-2179602/;;Pre Alps Dolomites offer a different Italy;Enjoy the pink peaks at sunset;Best region for hiking and winter sports;;;
Cinque Terre;Cinque Terre, Italy;https://pixabay.com/fr/cinque-terre-italie-maisons-couleur-1859688/;;Five traditional fishmen villages nested in cliffs falling in the Mediterranean sea;Despite not being the undiscovered Eden it used to be, Cinque Terre still is a must in Northern Italy;Walk the sinous paths along the cliffside or take the 19th century railway to discover the villages one after the other;The cliffs and the terrasses overlooking the sea offer coastal sceneries;;
Pisa;Pisa, Italy;https://pixabay.com/fr/se-penchant-tour-pise-italie-640302;;Known for its tower, but not only...;The world famous Leaning Tower;The typical charm of an Italian city, mixing traditional Renaissance architecture and vibrant modern life;;;
Milan;Milan, Italy;https://pixabay.com/fr/milan-duomo-monument-lombardie-2238470/;;Fell the vibes of the most dynamic city in Italy;Piazza del Duomo and the old town are worth a visit;Milan is famous for being the capital of fashion and design. Beware: Shops and tentation are at every corner;Students and executives mingle in trendy bars and trattorias for an espresso, an aperitivo or a delicious Italian meal;;
Rome;Rome, Italy;https://pixabay.com/fr/colis%C3%A9e-rome-ville-colis%C3%A9e-de-rome-2030643/;;All the roads lead to Rome. So could you really miss it?;Live the Roman dolce vita at one of its thousands terraces and trattorias;Every monument of Rome seems a testimony of a different time, from the Colosseum to Sint Peter's Basilica;But Rome is a ively city above all. Just get lost in its narrow and animated streets;;
Bologna;Bologna, Italy;https://pixabay.com/fr/italie-bologne-piazza-majore-1204986/;;Some of the best Italian food in this Medieval town;Admire Bologna's wonderful gothic architecture;Bologna is famous in Italy for its food scene;;;
The Italian lakes;Como, Italy;https://pixabay.com/fr/lac-cuomo-italien-italie-lac-l-eau-672526/;;The incredible natural beauty of the famous Italian lakes;Drive the scenic routes around the lakes of Como, Maggiore and Garda;Discover many traditional villages and great restaurants;Take a boat and admire the palaces and villas built on the coasts or the islands;;
Verona;Verona, Italy;https://pixabay.com/fr/v%C3%A9rone-paysage-vue-1651527/;;Fall in love with charming Medieval Verona;Visit the Roman arena that still serves as an opera venue;The city of Shakespeare's Romeo & Juliet;;;
Aeolian islands & Stromboli;Stromboli, Italy;https://pixabay.com/fr/lipari-sicile-mer-nature-c%C3%B4te-1433566/;;A paradise, off the Sicilian coast;Walk up the Stromboli at night and observe its never-ending eruptions;Rent a vespa and drive around Lipari or Salina;Discover VIP Panarea walking the trails around the island or renting a small boat;;
Syracuse;Syracuse, Italy;https://pixabay.com/fr/syracuse-port-bateaux-1657472/;;Meet history in legendary Syracuse;Ancient Greek ruins;Baroque style architecture;Some of the few white sand beaches in Sicily;;
Noto;Noto, Italy;https://pixabay.com/fr/cath%C3%A9drale-noto-sicile-baroque-1912944/;;Sicily's most beautiful baroque town;Beautifu and colourful historic centre;Walk the main streets flanked by palaces and churches;;;
Agrigento;Agrigento, Italy;https://pixabay.com/fr/sicialia-italie-agrigente-temples-2130168/;;Some of the most beautiful Greek ruins in the world;The ruins of the temples valley;Amazing natural scene with hills and rocks;Scala dei Turci amazing beach and chalk cliffs are only 20 min away;;
Palermo;Palermo, Italy;https://pixabay.com/fr/palerme-sicile-monument-686207/;https://www.shutterstock.com/fr/image-photo/palermo-italy-march-13-2015-grocery-273331211?src=73RX4nF_BBOuOHnn6zYqmQ-1-0;Take the pulse of real Sicily;Animated and crowded city;Mingle with Palermitans in cafés, restaurants and markets;Admire Palermo's architecture and museums;;
Ragusa;Ragusa, Italy;https://pixabay.com/fr/italie-sicile-ragusa-ragusa-ibla-1157365/;;A typical Sicilian jewel nested in the rocky peaks;Baroque palaces and squares;Get lost in Ragusa's magnificient centre and its sloping alleys;;;
Segesta;Segesta, Italy;https://pixabay.com/fr/segesta-sicile-paysage-407734/;https://www.shutterstock.com/fr/image-photo/greek-temple-segesta-sicily-italy-347143721?src=nb2YfYJCtXOskcoPnpmrjw-1-47;The magic of ancient ruins built on the edge of a canyon;Remarkably preserved theatre and temple;Majestic natural setting;;;
Taormina;Taormina, Italy;https://pixabay.com/fr/station-mer-taormina-italie-l-eau-1910194/;https://www.shutterstock.com/fr/image-photo/duomo-most-popular-sicilian-resort-taormina-559433620?src=AzrO4ciVON8qIKDy-_P9dw-1-0;Don't miss spectacular (but touristy) Taormina and its breathtaking views on the sea and the Etna;Amazing natural site: The town seems to dive into the dazzling waters;Stunning ancient theatre;Escape the touristy and expensive main street and admire the view from one of the town's cafés;Perfect base for a visit of the Etna;
Cefalu;Cefalu, Italy;https://pixabay.com/fr/italie-sicile-cefal%C3%B9-94942/;https://www.shutterstock.com/fr/image-photo/cefalu-italy-november-12-2015-fisherman-345544916?src=K7ixC7sQVUk2FEQg6xG9yA-1-7;Walk the sunny streets of this Medieval towns and relax on the beach;Beautiful churches, squares and Medieval streets;Nice little port and promenade alongside the beach;;;
Golfo di Orosei;Golfo di Orosei, Italy;https://pixabay.com/fr/cala-goloritze-italie-sardaigne-1068643/;https://www.shutterstock.com/fr/image-photo/view-goloritze-beach-sardinia-330010511?src=WakoSFarDTZzGQT8qgk3tw-1-25;This fantastic gulfe combines in a unique way dream beaches and crystal blue waters with hardly accessible coves and cliffs;Walk the paths on the crest overlooking the Mediterranean;Kayak and explore the small coves one by one;Enjoy a well deserved sea bathing;;
Gola su Gorropu;Gola su Gorropu, Italy;https://pixabay.com/fr/canyon-hola-su-gorropu-sardina-931297/;https://www.shutterstock.com/fr/image-photo/inside-gorropu-gorge-supramonte-mountain-range-544982020?src=GApbEbnXc5uyFAp3b55hCA-1-0;These very impressive gorges are often called the European Grand Canyon;Follow the narrow itinerary between the 400m high gorges;;;;
Costa Smeralda;Costa Smeralda, Italy;https://pixabay.com/fr/sardaigne-sud-teulada-chef-574129/;https://www.shutterstock.com/fr/image-photo/beautiful-bay-sandy-teulada-lagoon-beach-195606959?src=icJCh_l68AeGh744V4Duyg-1-1;The Northern Coast of Sardinia offers fantastic landscapes and beaches;A successtion of idyllic bays and beaches;Jetsetters' favourite destination on the island;Explore isolated coves for a more preserved experience of the coast and inland traditional villages;;
Orgosolo;Orgosolo, Italy;https://pixabay.com/fr/sardaigne-orgosolo-1853770/;https://www.shutterstock.com/fr/image-photo/orgosolo-italyaugust-20-2004-traditional-graffiti-230171860?src=pitLsoMqPsJdKOhc2r_R3w-1-37;Orgosolo used to be Sardinia's crime capital.;Graffitis and painting on the houses are a testimony of the political opinions and battles led by ts inhabitants;;;;
Alghero;Alghero, Italy;https://pixabay.com/fr/alghero-porto-coucher-de-soleil-2257339/;https://www.shutterstock.com/fr/image-photo/view-promenade-alghero-sardinia-396432583?src=kP1dwbVdfCb1a3z4kDLnYQ-1-0;Enjoy Alghero's unique character and the wonderful coast of the Northeast part of Sardinia;Alghero is one of Sicilia's most beautiful medieval cities;The city centre is particularly animated at night. Enjoy a great seafood dinner on one of the squares with a view on the sea;Access the spectacular Grotta di Nettuno after walking down the 665 steps from the top of the cliff;;
Bosa;Bosa, Italy;https://pixabay.com/fr/la-sardaigne-bosa-ville-soir%C3%A9e-2249698/;https://www.shutterstock.com/fr/image-photo/view-on-boats-river-temo-colorful-518111800?src=KVy6VvZWvZfPZtAFulZ2lw-1-0;One of Sardinia's most beautiful towns;Beautiful pastel houses and fishermen boats;An impressive medieval castle on the slope of a steep hill;Enjoy Bosa at night and its great familial restaurants;;
Castelsardo;Castelsardo, Italy;http://www.castelsardoturismo.it/sites/default/files/imagecache/slideshow_style/home03.jpg;https://www.shutterstock.com/fr/image-photo/beautiful-alley-castelsardo-old-city-sardinia-481243882?src=S9zDuFP7G1X0aF-k-eBe_Q-1-5;A beautiful village perched on top of a promontory overlooking the sea;A typical medieval city centre;A beautiful beach for a refreshing bath after visiting the village;;;
Piscinas;Piscinas, Italy;http://www.touring-italy.net/images/tours/2012/9-piscinas-1.jpg;https://www.shutterstock.com/fr/image-photo/piscinas-beach-dunes-green-coast-west-202887700?src=pgmN7l1RJBvRzwLEszhLhQ-1-3;Impressive dunes and wild beaches;Admire the unspoilt beauty of this magnificent beach;Impressive dunes peaking up to 60 m high;;;
Asinara;Asinara, Italy;https://pixabay.com/fr/sardaigne-mer-%C3%AEle-d-asinara-467220/;https://www.shutterstock.com/fr/image-photo/coast-sardinia-sea-sand-rocks-blue-61977184?src=IUvWAtISmGFjcaYaE3CEAQ-1-87;An absolutely unspoilt island off Northeast Sardinia;Visit the island national park, its beautiful beaches and wild animals;Great diving and snorkelling oppportunities;Only accessible joining tours;;
Cagliari;Cagliari, Italy;https://pixabay.com/fr/cagliari-toits-old-town-sardaigne-660263/;https://www.shutterstock.com/fr/image-photo/cagliari-sardinia-italy-coastal-skyline-on-295706894?src=mbu9EQGtpQvUue8WWEuRZQ-1-9;Explore the proud capital, overlooking the Mediterranean;The city is built around an impressive fortress simply named Il Castello;A rich history and culture;Excellent seafood and dolce vita are guaranteed;;
